Year,Company, Sales , Cost of Sales , Other Expenses , Cash , Other Current Assets , Total Assets , Debt , Current Liabilities , Total Liabilities , Equity , Number of Shares 
2010,TechNexus," 51,897 "," 42,556 "," 9,528 "," 6,365 "," 53,307 "," 111,547 "," 39,520 "," 70,051 "," 109,571 "," 1,976 "," 923,000 "
2010,SparkMind," 85,543 "," 59,025 "," 29,170 "," 9,486 "," 21,668 "," 95,148 "," 45,996 "," 44,552 "," 90,548 "," 4,600 "," 898,000 "
2010,HyperionTech," 83,772 "," 56,965 "," 26,539 "," 4,332 "," 71,599 "," 167,349 "," 61,424 "," 101,011 "," 162,435 "," 4,914 "," 808,000 "
2010,QuantumWorks," 73,839 "," 64,240 "," 10,559 "," 7,411 "," 72,690 "," 148,121 "," 50,812 "," 90,195 "," 141,007 "," 7,114 "," 528,000 "
2010,NexaLabs," 85,367 "," 72,562 "," 14,342 "," 5,559 "," 29,643 "," 58,590 "," 26,409 "," 30,861 "," 57,270 "," 1,320 "," 137,000 "
2010,SkyLift," 54,755 "," 32,853 "," 22,778 "," 9,511 "," 46,941 "," 70,052 "," 25,759 "," 43,005 "," 68,764 "," 1,288 "," 579,000 "
2010,NeuralBridge," 15,148 "," 9,089 "," 6,059 "," 5,856 "," 70,139 "," 129,502 "," 60,488 "," 64,780 "," 125,268 "," 4,234 "," 319,000 "
2010,VantageTech," 98,431 "," 63,980 "," 35,140 "," 6,916 "," 36,391 "," 107,691 "," 48,806 "," 54,004 "," 102,810 "," 4,881 "," 463,000 "
2010,SynapseSoft," 94,425 "," 61,376 "," 37,015 "," 8,346 "," 64,070 "," 100,686 "," 43,340 "," 53,445 "," 96,785 "," 3,901 "," 650,000 "
2010,InfusionLabs," 93,405 "," 65,384 "," 22,417 "," 7,922 "," 34,300 "," 61,022 "," 27,832 "," 29,015 "," 56,847 "," 4,175 "," 675,000 "
2011,TechNexus," 52,935 "," 31,761 "," 23,291 "," 5,792 "," 44,245 "," 89,238 "," 30,177 "," 56,345 "," 86,522 "," 2,716 "," 923,000 "
2011,SparkMind," 100,941 "," 83,781 "," 15,444 "," 9,486 "," 22,101 "," 104,663 "," 40,088 "," 58,562 "," 98,650 "," 6,013 "," 898,000 "
2011,HyperionTech," 92,987 "," 74,390 "," 22,317 "," 5,155 "," 67,303 "," 164,002 "," 67,323 "," 83,214 "," 150,537 "," 13,465 "," 808,000 "
2011,QuantumWorks," 77,531 "," 55,047 "," 18,662 "," 7,782 "," 75,598 "," 143,677 "," 69,241 "," 68,897 "," 138,138 "," 5,539 "," 528,000 "
2011,NexaLabs," 95,611 "," 78,401 "," 18,587 "," 4,836 "," 23,714 "," 49,216 "," 16,443 "," 30,471 "," 46,914 "," 2,302 "," 137,000 "
2011,SkyLift," 57,493 "," 39,670 "," 16,753 "," 10,082 "," 39,430 "," 80,560 "," 27,101 "," 50,749 "," 77,850 "," 2,710 "," 579,000 "
2011,NeuralBridge," 13,179 "," 8,171 "," 4,958 "," 4,978 "," 70,840 "," 108,782 "," 39,753 "," 66,644 "," 106,397 "," 2,385 "," 319,000 "
2011,VantageTech," 112,211 "," 95,380 "," 17,168 "," 5,809 "," 36,027 "," 123,845 "," 43,106 "," 75,997 "," 119,103 "," 4,742 "," 463,000 "
2011,SynapseSoft," 85,927 "," 73,038 "," 13,791 "," 8,179 "," 69,836 "," 89,611 "," 30,554 "," 56,307 "," 86,861 "," 2,750 "," 650,000 "
2011,InfusionLabs," 112,086 "," 68,372 "," 35,845 "," 6,813 "," 38,073 "," 54,310 "," 21,414 "," 31,182 "," 52,596 "," 1,713 "," 675,000 "
2012,TechNexus," 59,816 "," 46,657 "," 11,975 "," 5,676 "," 39,378 "," 84,776 "," 42,168 "," 34,596 "," 76,764 "," 8,012 "," 923,000 "
2012,SparkMind," 112,044 "," 86,274 "," 22,162 "," 10,055 "," 20,333 "," 83,730 "," 35,901 "," 43,880 "," 79,781 "," 3,949 "," 898,000 "
2012,HyperionTech," 81,828 "," 69,554 "," 13,256 "," 5,413 "," 57,881 "," 141,042 "," 54,046 "," 82,672 "," 136,718 "," 4,324 "," 808,000 "
2012,QuantumWorks," 74,430 "," 47,635 "," 23,847 "," 8,248 "," 86,181 "," 140,804 "," 52,530 "," 80,394 "," 132,924 "," 7,880 "," 528,000 "
2012,NexaLabs," 87,006 "," 76,565 "," 10,858 "," 5,127 "," 23,477 "," 42,325 "," 16,308 "," 24,876 "," 41,184 "," 1,142 "," 137,000 "
2012,SkyLift," 54,043 "," 46,477 "," 7,112 "," 9,174 "," 38,642 "," 70,893 "," 34,107 "," 33,034 "," 67,141 "," 3,752 "," 579,000 "
2012,NeuralBridge," 14,892 "," 9,978 "," 4,619 "," 5,774 "," 63,048 "," 124,011 "," 47,700 "," 70,587 "," 118,287 "," 5,724 "," 319,000 "
2012,VantageTech," 126,799 "," 107,779 "," 18,639 "," 6,158 "," 38,189 "," 112,699 "," 54,746 "," 49,741 "," 104,487 "," 8,212 "," 463,000 "
2012,SynapseSoft," 79,912 "," 59,934 "," 18,580 "," 7,198 "," 60,059 "," 86,026 "," 39,728 "," 43,517 "," 83,245 "," 2,781 "," 650,000 "
2012,InfusionLabs," 134,503 "," 118,363 "," 15,495 "," 7,358 "," 30,839 "," 49,965 "," 20,396 "," 25,490 "," 45,886 "," 4,079 "," 675,000 "
2013,TechNexus," 53,237 "," 46,848 "," 7,283 "," 6,130 "," 35,046 "," 93,253 "," 45,837 "," 40,541 "," 86,378 "," 6,876 "," 923,000 "
2013,SparkMind," 90,756 "," 56,269 "," 28,280 "," 8,748 "," 21,147 "," 81,218 "," 33,490 "," 42,705 "," 76,195 "," 5,024 "," 898,000 "
2013,HyperionTech," 94,103 "," 74,341 "," 21,738 "," 4,493 "," 59,617 "," 138,221 "," 50,727 "," 79,378 "," 130,105 "," 8,116 "," 808,000 "
2013,QuantumWorks," 74,430 "," 58,799 "," 14,224 "," 6,929 "," 103,418 "," 143,620 "," 60,224 "," 76,771 "," 136,995 "," 6,625 "," 528,000 "
2013,NexaLabs," 77,435 "," 61,174 "," 14,473 "," 4,460 "," 23,008 "," 49,097 "," 23,457 "," 24,468 "," 47,925 "," 1,173 "," 137,000 "
2013,SkyLift," 62,150 "," 50,963 "," 11,634 "," 7,339 "," 32,073 "," 70,184 "," 32,761 "," 31,526 "," 64,287 "," 5,897 "," 579,000 "
2013,NeuralBridge," 13,998 "," 8,679 "," 5,585 "," 6,813 "," 69,983 "," 117,811 "," 49,099 "," 59,383 "," 108,482 "," 9,329 "," 319,000 "
2013,VantageTech," 148,355 "," 99,398 "," 49,447 "," 7,020 "," 31,697 "," 110,445 "," 39,069 "," 69,032 "," 108,101 "," 2,344 "," 463,000 "
2013,SynapseSoft," 91,899 "," 69,843 "," 22,276 "," 8,277 "," 52,252 "," 88,607 "," 33,643 "," 49,581 "," 83,224 "," 5,383 "," 650,000 "
2013,InfusionLabs," 129,123 "," 108,463 "," 19,007 "," 7,799 "," 27,138 "," 44,469 "," 21,793 "," 18,535 "," 40,328 "," 4,141 "," 675,000 "
2014,TechNexus," 61,222 "," 42,243 "," 15,373 "," 7,050 "," 38,200 "," 108,174 "," 47,182 "," 53,443 "," 100,625 "," 7,549 "," 923,000 "
2014,SparkMind," 83,495 "," 54,272 "," 29,808 "," 9,185 "," 23,684 "," 86,904 "," 34,645 "," 48,448 "," 83,093 "," 3,811 "," 898,000 "
2014,HyperionTech," 91,280 "," 81,239 "," 9,940 "," 4,448 "," 51,867 "," 142,368 "," 57,974 "," 80,335 "," 138,309 "," 4,058 "," 808,000 "
2014,QuantumWorks," 74,430 "," 58,055 "," 14,410 "," 7,483 "," 104,452 "," 172,344 "," 58,991 "," 105,094 "," 164,085 "," 8,259 "," 528,000 "
2014,NexaLabs," 61,948 "," 44,603 "," 18,213 "," 5,307 "," 22,087 "," 53,516 "," 26,312 "," 24,836 "," 51,148 "," 2,368 "," 137,000 "
2014,SkyLift," 57,799 "," 50,863 "," 6,936 "," 8,000 "," 36,884 "," 78,606 "," 38,819 "," 36,681 "," 75,500 "," 3,106 "," 579,000 "
2014,NeuralBridge," 12,319 "," 9,239 "," 2,956 "," 7,563 "," 70,683 "," 108,386 "," 38,853 "," 62,539 "," 101,392 "," 6,994 "," 319,000 "
2014,VantageTech," 164,674 "," 100,451 "," 66,149 "," 7,863 "," 32,964 "," 129,220 "," 58,724 "," 67,560 "," 126,284 "," 2,936 "," 463,000 "
2014,SynapseSoft," 104,764 "," 69,145 "," 34,195 "," 7,615 "," 56,954 "," 77,088 "," 34,815 "," 40,184 "," 74,999 "," 2,089 "," 650,000 "
